heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
2000000,27,medium,114,96235856,42115006114
2000000,27,large,198,144464624,83836438672
2000000,28,small,52,48110672,17115227995
2000000,28,medium,114,96236624,41850862158
2000000,28,large,198,144463280,83890798480
2000000,29,small,52,48112688,17037873070
2000000,29,medium,114,96234992,42237212982
2000000,29,large,198,144457712,83654254070
3000000,5,small,34,48108272,16949346017
3000000,5,medium,70,96232400,41624067340
3000000,5,large,116,144449552,84999343097
3000000,6,small,34,48109232,16882621147
3000000,6,medium,70,96232304,41965648000
3000000,6,large,116,144452048,84567606158
3000000,7,small,34,48111440,16872036237
3000000,7,medium,70,96229328,41689771301
3000000,7,large,116,144457232,83856419211
3000000,8,small,34,48109328,16867693781
3000000,8,medium,70,96239696,41340730272
3000000,8,large,116,144452336,84373856952
3000000,9,small,34,48107888,16854770302
3000000,9,medium,70,96231536,41608113278
3000000,9,large,116,144450608,83947610353
3000000,10,small,34,48109808,16761395488
3000000,10,medium,70,96232112,41612481000
3000000,10,large,116,144455792,84276745989
3000000,11,small,34,48107888,16837816143
3000000,11,medium,70,96229232,41776690073
3000000,11,large,116,144445232,84721875060
3000000,12,small,34,48109232,16749773877
3000000,12,medium,70,96233744,41512792653
3000000,12,large,116,144447440,84187190470
3000000,13,small,34,48110480,16835900711
3000000,13,medium,70,96230192,41740043357
3000000,13,large,116,144451952,84540551424
3000000,14,small,34,48108272,16917433613
3000000,14,medium,70,96232784,41391489576
3000000,14,large,116,144449264,84359788118
3000000,15,small,34,48108368,16929939442
3000000,15,medium,70,96234512,41876531059
3000000,15,large,116,144453104,84180931939
3000000,16,small,34,48109136,16858065293
3000000,16,medium,70,96226352,41581681569
3000000,16,large,116,144455024,85018532450
3000000,17,small,34,48108272,17122454051
3000000,17,medium,70,96232400,42740639624
3000000,17,large,116,144449552,84058237739
3000000,18,small,34,48109232,16872838507
3000000,18,medium,70,96232304,41841717280
3000000,18,large,116,144452048,84050828922
3000000,19,small,34,48111440,16817449966
3000000,19,medium,70,96229328,41823599892
3000000,19,large,116,144457232,83993163544
3000000,20,small,34,48109328,16917913765
3000000,20,medium,70,96239696,42053853424
3000000,20,large,116,144452336,85052246344
3000000,21,small,34,48107888,16845262118
3000000,21,medium,70,96231536,41399474272
3000000,21,large,116,144450608,84704460126
3000000,22,small,34,48109808,16817363352
3000000,22,medium,70,96232112,41608289587
3000000,22,large,116,144455792,84377001224
3000000,23,small,34,48107888,16793889895
3000000,23,medium,70,96229232,41751341598
3000000,23,large,116,144445232,84237586938
3000000,24,small,34,48109232,16963469278
3000000,24,medium,70,96233744,41515417402
3000000,24,large,116,144447440,84505279807
3000000,25,small,34,48110480,16901839675
3000000,25,medium,70,96230192,41231364527
3000000,25,large,116,144451952,84266133639
3000000,26,small,34,48108272,16868338988
3000000,26,medium,70,96232784,41240610891
3000000,26,large,116,144449264,83616496144
3000000,27,small,34,48108368,16914511353
3000000,27,medium,70,96234512,41793887538
3000000,27,large,116,144453104,83920457386
3000000,28,small,34,48109136,16852925565
3000000,28,medium,70,96226352,41687194846
3000000,28,large,116,144455024,84160204744
3000000,29,small,34,48109712,16867802740
3000000,29,medium,70,96232784,41424718375
3000000,29,large,116,144457232,84092174450
4000000,5,small,24,48107216,16845378322
4000000,5,medium,52,96228656,41537981453
4000000,5,large,82,144445712,84334230108
4000000,6,small,24,48107120,16654727025
4000000,6,medium,52,96231248,41462653300
4000000,6,large,82,144452432,83895524434
4000000,7,small,24,48108944,16753252947
4000000,7,medium,52,96233168,41505839564
4000000,7,large,82,144445808,84225530566
4000000,8,small,24,48109712,16852988854
4000000,8,medium,52,96230192,41465017723
4000000,8,large,82,144451472,84008847251
4000000,9,small,24,48109040,16769390346
4000000,9,medium,52,96234992,41161683165
4000000,9,large,82,144449360,84251191315
4000000,10,small,24,48107696,16645266601
4000000,10,medium,52,96234032,41719852526
4000000,10,large,82,144452912,84157033896
4000000,11,small,24,48107216,16835488936
4000000,11,medium,52,96231056,41452717515
4000000,11,large,82,144457040,84467237482
4000000,12,small,24,48104528,16818086686
4000000,12,medium,52,96231632,41328331271
4000000,12,large,82,144446960,84188663538
4000000,13,small,24,48108752,16690059908
4000000,13,medium,52,96235856,41341275447
4000000,13,large,82,144450992,83871105854
4000000,14,small,24,48109232,16779919178
4000000,14,medium,52,96229904,41641006485
4000000,14,large,82,144453488,83873478551
4000000,15,small,24,48107984,16722004568
4000000,15,medium,52,96230672,41716571156
4000000,15,large,82,144452144,84487218637
4000000,16,small,24,48110000,16791786978
4000000,16,medium,52,96229040,41503012045
4000000,16,large,82,144446576,83394935871
4000000,17,small,24,48105776,16711727058
4000000,17,medium,52,96230288,41703409632
4000000,17,large,82,144451376,84552038817
4000000,18,small,24,48107696,16726618491
4000000,18,medium,52,96231632,41252292004
4000000,18,large,82,144451376,84723837822
4000000,19,small,24,48107792,16760627142
4000000,19,medium,52,96228656,41460908200
4000000,19,large,82,144448784,84106585286
4000000,20,small,24,48106448,16640009017
4000000,20,medium,52,96232208,41386411703
4000000,20,large,82,144450896,83759133474
4000000,21,small,24,48106544,16756270280
4000000,21,medium,52,96226064,41551626979
4000000,21,large,82,144452432,84620683011
4000000,22,small,24,48107312,16741437939
4000000,22,medium,52,96228752,41648972664
4000000,22,large,82,144444848,84278009655
4000000,23,small,24,48106160,16724240959
4000000,23,medium,52,96227504,41523001943
4000000,23,large,82,144449744,83795843340
4000000,24,small,24,48110096,16691614021
4000000,24,medium,52,96230768,41457883855
4000000,24,large,82,144450128,84586511750
4000000,25,small,24,48108272,16858285091
4000000,25,medium,52,96231920,41173753072
4000000,25,large,82,144445616,83534539636
4000000,26,small,24,48108656,16752994125
4000000,26,medium,52,96231440,41673588730
4000000,26,large,82,144448880,84269448515
4000000,27,small,24,48107024,16752217852
4000000,27,medium,52,96234128,41215046706
4000000,27,large,82,144444368,84053940281
4000000,28,small,24,48107120,16679477951
4000000,28,medium,52,96233360,41673221464
4000000,28,large,82,144445328,84427787909
4000000,29,small,24,48110384,16852805384
4000000,29,medium,52,96229232,41109402145
4000000,29,large,82,144447344,84247739818
5000000,5,small,18,48109232,16723885639
5000000,5,medium,40,96225392,41267674840
5000000,5,large,64,144445520,84193157000
5000000,6,small,18,48108176,16638273558
5000000,6,medium,40,96228944,41324734692
5000000,6,large,64,144454064,83973686388
5000000,7,small,18,48106832,16751524288
5000000,7,medium,40,96228368,41422396556
5000000,7,large,64,144454832,83839143990
5000000,8,small,18,48106832,16770164488
5000000,8,medium,40,96229808,41360778929
5000000,8,large,64,144443504,84075201211
5000000,9,small,18,48108080,16784130209
5000000,9,medium,40,96227888,41491582061
5000000,9,large,64,144450512,84529715844
5000000,10,small,18,48105296,16652492882
5000000,10,medium,40,96227120,41208438921
5000000,10,large,64,144445712,83611503340
5000000,11,small,18,48108752,16714241620
5000000,11,medium,40,96226640,41244994736
5000000,11,large,64,144448304,84472256590
5000000,12,small,18,48107888,16758278682
5000000,12,medium,40,96230000,41431668892
5000000,12,large,64,144447632,84095569684
5000000,13,small,18,48106256,16664475900
5000000,13,medium,40,96227600,41023751907
5000000,13,large,64,144449360,84246365664
5000000,14,small,18,48106544,16785303944
5000000,14,medium,40,96232784,41223214186
5000000,14,large,64,144442352,83942275139
